event_type,attendance,location_type,weather_factor,density_veh_per_km,queue_length_veh,label
Concert,11725,Urban,152.2099,30.41,10.04,Moderate
Accident,923,Urban,26.4787,92.06,64.29,Gridlock
Construction,20,Suburban,79.9839,59.88,26.88,Heavy
Concert,88197,Urban,24.0295,92.57,57.91,Gridlock
Construction,875,Highway,167.5466,26.02,10.17,Moderate
Construction,71,Suburban,276.4524,8.19,3.97,Free-flow
Parade,18374,Urban,278.6695,9.66,0.77,Free-flow
Construction,793,Suburban,67.8669,54.71,25.45,Heavy
Accident,726,Highway,81.7491,61.29,25.04,Heavy
Concert,73039,Rural,83.3767,53.79,25.4,Heavy
Sporting Event,7836,Rural,290.5374,7.36,2.15,Free-flow
Accident,63,Urban,155.4364,25.11,10.2,Free-flow
Parade,2600,Urban,78.4155,59.47,26.69,Heavy
Accident,875,Highway,163.6636,29.38,10.85,Moderate
Concert,42613,Suburban,27.9821,92.25,59.52,Gridlock
Concert,90176,Suburban,68.2621,57.56,22.16,Heavy
Concert,58243,Rural,85.1064,61.39,18.44,Heavy
Construction,282,Urban,68.0183,57.58,24.73,Heavy
Accident,543,Suburban,270.4822,8.61,1.72,Free-flow
Accident,684,Urban,162.5666,24.36,10.67,Moderate
Accident,907,Suburban,144.1184,28.96,10.37,Moderate
Sporting Event,63795,Suburban,22.6432,90.08,56.72,Gridlock
Accident,121,Suburban,277.2239,9.31,1.77,Free-flow
Parade,14474,Urban,171.985,27.26,11.05,Moderate
Sporting Event,85390,Highway,25.5445,84.46,59.36,Gridlock
Construction,616,Urban,287.4948,14.31,1.25,Free-flow
Construction,397,Urban,67.6567,57.55,21.88,Heavy
Accident,998,Urban,63.9644,59.79,24.85,Heavy
Concert,52529,Suburban,23.2501,90.86,64.68,Gridlock
Sporting Event,68057,Highway,262.8609,8.71,3.02,Free-flow
Other,813,Suburban,263.8005,9.14,1.21,Free-flow
Concert,48864,Suburban,266.1574,7.63,1.03,Free-flow
Concert,98557,Urban,77.6124,56.98,24.3,Heavy
Other,638,Urban,86.784,57.94,26.18,Heavy
Construction,959,Rural,275.4456,10.96,1.42,Free-flow
Accident,179,Rural,279.1109,10.27,1.29,Free-flow
Construction,834,Rural,26.9514,89.64,61.06,Gridlock
Construction,419,Urban,162.9223,28.36,9.76,Moderate
Accident,174,Suburban,261.4709,11.09,2.63,Free-flow
Accident,53,Suburban,320.3133,8.73,2.76,Free-flow
Parade,35616,Urban,21.6078,86.76,66.47,Gridlock
Other,262,Urban,306.6472,9.69,2.88,Free-flow
Concert,14772,Suburban,92.9182,63.59,27.21,Heavy
Construction,976,Urban,167.5025,31.41,9.65,Moderate
Accident,845,Urban,279.1504,8.78,2.74,Free-flow
Other,17,Suburban,26.1017,89.69,62.53,Gridlock
Parade,91385,Suburban,302.6282,9.42,1.76,Free-flow
Construction,977,Suburban,158.4378,27.27,10.62,Moderate
Construction,593,Urban,143.6372,29.19,12.5,Moderate
Construction,5,Highway,89.4825,61.96,25.27,Heavy
Concert,71690,Highway,154.6796,25.64,11.33,Moderate
Sporting Event,39838,Highway,157.7038,28.08,7.94,Moderate
Accident,607,Urban,257.2733,9.01,2.26,Free-flow
Accident,259,Highway,169.2365,29.53,8.06,Moderate
Accident,49,Highway,258.4952,7.63,2.21,Free-flow
Accident,959,Suburban,86.9836,59.9,24.28,Heavy
Accident,585,Highway,265.2515,9.45,2.24,Free-flow
Other,28,Suburban,294.301,13.77,3.53,Free-flow
Accident,937,Suburban,272.1609,8.14,3.07,Free-flow
Construction,397,Highway,171.251,25.34,7.76,Moderate
Accident,381,Urban,267.8792,9.41,2.43,Free-flow
Parade,57076,Urban,164.2327,28.19,9.97,Moderate
Accident,326,Urban,290.7888,5.74,1.62,Free-flow
Sporting Event,68061,Highway,284.46,9.28,1.51,Free-flow
Accident,779,Urban,81.033,60.23,26.05,Heavy
Accident,953,Suburban,21.4166,87.0,59.31,Gridlock
Sporting Event,42266,Highway,24.2843,95.86,62.55,Gridlock
Parade,86207,Urban,279.8357,14.23,3.66,Free-flow
Concert,16883,Highway,165.9164,31.72,9.43,Heavy
Accident,402,Urban,287.9381,13.53,1.91,Free-flow
Accident,284,Rural,161.7673,29.82,9.0,Moderate
Concert,66927,Urban,84.8549,59.78,24.16,Heavy
Concert,69448,Urban,166.6152,30.15,8.26,Moderate
Accident,127,Suburban,82.3577,60.43,27.38,Heavy
Accident,270,Urban,270.8109,7.54,2.59,Free-flow
Sporting Event,6338,Rural,166.0913,30.3,10.39,Moderate
Accident,837,Suburban,293.6745,8.11,2.42,Free-flow
Construction,47,Urban,26.618,87.61,60.62,Gridlock
Other,182,Highway,154.7822,34.02,10.75,Moderate
Construction,132,Rural,280.2162,7.17,0.12,Free-flow
Construction,708,Urban,251.7761,10.21,2.24,Free-flow
Sporting Event,64231,Suburban,86.8162,61.5,27.91,Heavy
Accident,442,Suburban,78.7299,62.55,23.38,Heavy
Other,717,Suburban,55.2084,62.88,27.19,Heavy
Accident,411,Rural,24.2995,88.73,61.42,Gridlock
Accident,823,Urban,281.418,10.36,1.8,Free-flow
Sporting Event,66350,Suburban,87.9199,61.81,23.33,Heavy
Parade,2070,Urban,148.4049,28.53,8.71,Moderate
Construction,501,Highway,87.7379,59.49,25.58,Heavy
Accident,948,Suburban,180.7476,32.04,11.7,Moderate
Accident,501,Highway,21.1922,88.62,58.39,Gridlock
Parade,44923,Urban,69.5047,57.24,26.19,Heavy
Concert,45952,Urban,286.5278,12.19,2.57,Free-flow
Accident,443,Urban,88.3718,64.01,26.84,Heavy
Construction,408,Urban,67.0136,57.17,25.94,Moderate
Accident,460,Highway,284.1274,11.8,2.76,Free-flow
Parade,46937,Rural,21.0197,86.49,62.05,Gridlock
Construction,592,Urban,29.8689,88.64,51.85,Gridlock
Sporting Event,26711,Urban,77.7156,61.29,24.48,Heavy
Other,432,Highway,152.9922,25.49,10.99,Moderate
Sporting Event,33264,Urban,172.2462,29.92,12.26,Moderate
Construction,887,Suburban,266.5533,9.83,2.94,Free-flow
Construction,777,Suburban,285.4845,13.98,2.71,Free-flow
Concert,47200,Highway,91.8308,61.55,25.43,Heavy
Parade,57465,Suburban,150.4086,28.96,12.29,Moderate
Concert,54944,Urban,23.6908,89.14,64.44,Gridlock
Accident,991,Urban,282.9251,7.88,2.95,Free-flow
Accident,706,Suburban,29.3002,86.07,59.8,Gridlock
Sporting Event,57266,Urban,274.9682,6.23,2.0,Free-flow
Accident,7,Highway,27.38,89.75,55.24,Gridlock
Concert,79804,Rural,25.886,90.19,59.49,Gridlock
Concert,70793,Suburban,64.8377,58.69,28.84,Heavy
Construction,241,Highway,18.237,86.24,57.36,Gridlock
Accident,195,Suburban,83.8494,62.77,27.88,Heavy
Sporting Event,1766,Urban,70.4096,60.58,25.83,Heavy
Accident,347,Highway,308.8364,11.37,2.75,Free-flow
Parade,39077,Suburban,26.6313,86.81,59.69,Gridlock
Construction,510,Urban,162.5139,26.74,9.89,Moderate
Accident,409,Urban,91.7502,56.82,21.66,Heavy
Sporting Event,6479,Highway,63.6922,57.54,23.17,Heavy
Other,323,Suburban,79.8754,63.95,23.6,Heavy
Accident,147,Suburban,275.7526,13.78,2.6,Free-flow
Construction,112,Urban,153.1636,25.17,10.07,Moderate
Other,452,Suburban,291.2717,11.65,2.09,Free-flow
Construction,691,Urban,78.5271,61.07,23.28,Heavy
Construction,435,Urban,25.3056,90.33,58.12,Gridlock
Accident,802,Rural,62.2215,57.79,25.8,Heavy
Accident,186,Suburban,84.1464,58.91,22.09,Heavy
Accident,84,Suburban,25.0267,87.49,65.32,Gridlock
Accident,677,Urban,74.0858,59.49,26.42,Heavy
Accident,76,Suburban,168.381,24.12,9.19,Moderate
Accident,334,Suburban,26.985,93.53,59.83,Gridlock
Accident,329,Suburban,278.625,11.75,3.44,Free-flow
Construction,193,Suburban,27.6112,89.01,61.17,Gridlock
Concert,90566,Suburban,19.1335,93.87,59.84,Gridlock
Construction,428,Urban,255.7977,12.82,2.12,Free-flow
Accident,906,Suburban,25.9406,93.59,68.05,Gridlock
Construction,789,Suburban,296.8997,12.57,2.53,Free-flow
Concert,80880,Urban,286.1637,8.21,3.73,Free-flow
Accident,865,Suburban,22.1729,92.41,56.79,Gridlock
Concert,6676,Suburban,80.9193,62.16,24.78,Heavy
Concert,71402,Urban,171.9105,30.71,7.66,Moderate
Accident,68,Suburban,65.4296,63.5,23.34,Heavy
Concert,22601,Urban,98.688,58.9,24.25,Heavy
Parade,3034,Suburban,298.6021,11.29,1.57,Free-flow
Construction,3,Rural,61.4453,59.95,27.36,Heavy
Accident,635,Suburban,79.448,54.64,27.34,Heavy
Concert,58849,Highway,264.7822,8.89,1.65,Free-flow
Construction,648,Urban,129.1092,28.74,10.97,Moderate
Construction,880,Highway,158.8631,32.56,10.57,Moderate
Sporting Event,68941,Urban,24.5797,89.07,56.62,Gridlock
Other,896,Suburban,169.6546,28.47,9.84,Moderate
Parade,42237,Suburban,276.1556,9.87,1.13,Free-flow
Accident,741,Urban,20.8814,86.38,68.35,Gridlock
Concert,41299,Urban,22.8664,90.06,64.23,Gridlock
Concert,48061,Rural,278.8112,8.41,1.63,Free-flow
Accident,679,Suburban,166.214,30.76,11.48,Moderate
Sporting Event,70107,Urban,26.8789,86.16,65.32,Gridlock
Accident,930,Highway,66.0777,55.41,24.71,Heavy
Sporting Event,84851,Suburban,292.1703,12.75,0.95,Free-flow
Accident,659,Suburban,71.6087,61.7,22.61,Heavy
Construction,315,Urban,76.4691,62.45,25.05,Heavy
Accident,614,Suburban,175.7312,37.9,10.64,Moderate
Sporting Event,58278,Rural,282.8488,10.25,3.33,Free-flow
Accident,851,Suburban,271.2678,12.41,2.04,Free-flow
Accident,158,Highway,25.2356,91.32,63.49,Gridlock
Accident,126,Rural,150.6037,27.72,9.32,Moderate
Accident,392,Rural,55.9791,59.72,24.01,Heavy
Accident,947,Rural,81.3109,61.45,25.08,Heavy
Construction,427,Rural,168.8495,31.55,9.57,Moderate
Construction,40,Suburban,75.5909,61.33,22.87,Heavy
Concert,86354,Urban,146.5612,28.97,7.91,Moderate
Accident,640,Urban,88.9197,63.92,26.93,Heavy
Sporting Event,28827,Suburban,296.6913,7.12,2.78,Free-flow
Sporting Event,91032,Rural,295.2133,8.21,1.49,Free-flow
Construction,574,Urban,279.981,9.91,1.13,Free-flow
Construction,152,Rural,28.3955,92.18,59.03,Gridlock
Parade,87781,Suburban,280.9774,10.53,2.15,Free-flow
Concert,60096,Urban,250.4101,13.21,3.41,Free-flow
Accident,822,Highway,260.5867,8.12,0.6,Free-flow
Construction,212,Urban,288.057,10.81,3.02,Free-flow
Sporting Event,91094,Rural,280.5495,9.83,2.58,Free-flow
Concert,53876,Suburban,77.6497,60.83,25.72,Heavy
Construction,406,Urban,297.847,12.02,1.05,Free-flow
Construction,259,Highway,271.7361,9.03,0.88,Free-flow
Accident,271,Suburban,180.0499,34.46,10.39,Moderate
Concert,76761,Suburban,158.4222,32.82,9.27,Moderate
Accident,19,Suburban,149.0503,28.77,10.48,Moderate
Construction,205,Highway,261.9752,12.15,3.56,Free-flow
Construction,29,Highway,161.1003,30.37,8.14,Moderate
Concert,98756,Urban,152.7738,31.79,10.94,Moderate
Sporting Event,19078,Suburban,23.2797,85.42,58.65,Gridlock
Accident,741,Urban,73.6729,56.22,26.31,Heavy
Other,291,Highway,304.2702,10.95,3.25,Free-flow
Concert,57198,Suburban,155.1728,33.82,10.89,Moderate
Sporting Event,81541,Urban,166.0558,37.04,7.43,Moderate
Construction,343,Rural,148.427,26.61,8.14,Moderate
Accident,386,Highway,74.9855,61.63,24.16,Heavy
Construction,359,Urban,159.8626,29.53,9.45,Moderate
Parade,11127,Suburban,151.8486,28.55,8.02,Moderate
Sporting Event,52264,Highway,30.3282,90.6,57.76,Gridlock
Construction,374,Suburban,28.594,87.42,53.83,Gridlock
Sporting Event,95890,Rural,84.2801,68.25,25.06,Heavy
Concert,25392,Urban,155.4408,30.97,13.36,Moderate
Accident,530,Suburban,77.5289,59.5,26.69,Heavy
Concert,68751,Suburban,95.5689,61.95,22.09,Heavy
Parade,48902,Suburban,27.0183,87.13,65.5,Gridlock
Accident,807,Urban,85.0868,60.73,26.85,Heavy
Concert,99008,Urban,154.498,28.19,10.13,Moderate
Construction,400,Suburban,284.6156,10.14,1.93,Free-flow
Sporting Event,63493,Highway,285.6436,10.92,1.45,Free-flow
Construction,269,Urban,276.0489,12.22,2.22,Free-flow
Other,874,Urban,296.7207,10.51,1.99,Free-flow
Construction,196,Highway,271.8973,6.32,3.79,Free-flow
Other,391,Urban,78.446,61.48,25.52,Heavy
Sporting Event,96166,Suburban,167.1695,28.14,9.14,Moderate
Accident,181,Rural,290.6645,9.99,2.53,Free-flow
Construction,548,Urban,29.7435,87.61,60.36,Gridlock
Sporting Event,19815,Urban,84.0105,62.6,20.13,Heavy
Accident,99,Urban,78.8963,60.42,23.31,Heavy
Sporting Event,79504,Urban,21.2442,90.09,57.06,Gridlock
Parade,39504,Urban,26.4803,90.99,55.42,Gridlock
Sporting Event,65855,Highway,170.1572,30.71,9.07,Moderate
Construction,458,Highway,277.3747,12.13,0.84,Free-flow
Accident,852,Highway,184.9874,33.54,7.73,Moderate
Concert,99154,Suburban,72.1962,53.75,23.81,Heavy
Accident,531,Urban,52.6206,63.13,23.83,Heavy
Accident,597,Suburban,65.1022,62.06,23.8,Heavy
Construction,369,Suburban,76.3618,64.44,25.43,Heavy
Construction,565,Highway,135.718,27.89,10.44,Moderate
Construction,44,Suburban,145.5851,36.01,8.27,Moderate
Sporting Event,21559,Urban,88.6411,61.4,22.14,Heavy
Construction,521,Rural,152.6267,28.66,9.74,Moderate
Parade,98247,Suburban,173.9158,28.16,11.1,Moderate
Parade,16165,Urban,84.3608,64.05,24.68,Heavy
Other,365,Suburban,84.308,61.82,28.14,Heavy
Parade,56882,Urban,161.259,29.98,9.11,Moderate
Concert,15759,Suburban,24.1904,88.94,57.83,Gridlock
Construction,696,Highway,83.2204,65.88,27.78,Heavy
Accident,989,Suburban,278.5671,5.93,1.49,Free-flow
Accident,600,Suburban,306.9765,12.19,3.11,Free-flow
Sporting Event,57359,Urban,153.2842,24.9,11.36,Moderate
Concert,37027,Suburban,82.0905,61.24,20.71,Heavy
Accident,898,Suburban,159.0745,27.03,11.21,Moderate
Other,731,Suburban,302.9655,9.85,2.39,Free-flow
Construction,853,Highway,28.8788,94.43,67.64,Gridlock
Concert,28535,Urban,68.9639,56.77,21.96,Heavy
Accident,15,Highway,164.441,32.85,11.88,Moderate
Accident,326,Suburban,174.1456,30.14,10.08,Moderate
Construction,971,Suburban,80.6599,57.23,25.03,Heavy
Other,923,Highway,25.2476,90.19,56.1,Gridlock
Concert,33080,Highway,279.7122,10.35,2.0,Free-flow
Construction,214,Suburban,269.8604,12.85,1.7,Free-flow
Construction,282,Urban,80.1961,64.97,26.83,Heavy
Construction,567,Urban,23.7056,91.62,60.23,Gridlock
Accident,557,Suburban,283.0055,8.1,0.82,Free-flow
Accident,205,Highway,70.1069,61.94,25.84,Heavy
Other,670,Highway,83.2757,61.45,22.1,Heavy
Sporting Event,49840,Suburban,279.1673,8.94,1.36,Free-flow
Parade,35329,Urban,157.5227,26.08,8.74,Moderate
Accident,112,Urban,301.2213,11.7,1.22,Free-flow
Construction,183,Urban,74.2722,55.69,24.2,Heavy
Concert,76536,Highway,283.4483,14.56,3.45,Free-flow
Concert,29244,Urban,141.2427,31.55,10.43,Moderate
Accident,837,Urban,153.3751,32.85,14.68,Moderate
Construction,8,Suburban,77.2962,60.04,28.2,Heavy
Accident,559,Urban,25.8481,90.78,60.87,Gridlock
Sporting Event,79251,Urban,72.1472,59.13,28.11,Heavy
Construction,942,Urban,163.7267,27.24,8.88,Moderate
Concert,83399,Rural,21.6464,87.97,61.53,Gridlock
Accident,611,Suburban,24.4106,94.15,57.21,Gridlock
Other,48,Suburban,24.0108,89.32,64.45,Gridlock
Accident,890,Urban,77.779,60.83,24.67,Heavy
Other,862,Highway,266.0325,9.74,3.73,Free-flow
Other,681,Urban,164.943,29.11,10.65,Moderate
Sporting Event,40299,Highway,71.7811,59.23,26.03,Heavy
Accident,450,Urban,30.452,93.19,58.77,Gridlock
Other,631,Urban,83.1587,60.13,25.32,Heavy
Accident,516,Urban,284.928,7.6,1.14,Free-flow
Construction,126,Suburban,261.9276,11.8,2.19,Free-flow
Concert,37695,Urban,141.3085,30.09,13.02,Moderate
Concert,94726,Urban,276.6308,11.79,1.54,Free-flow
Concert,48263,Urban,81.4094,54.71,27.17,Heavy
Accident,904,Urban,75.8874,62.41,28.24,Heavy
Accident,268,Highway,70.2026,62.13,21.12,Heavy
Sporting Event,80935,Highway,158.1225,36.26,6.67,Moderate
Sporting Event,24914,Urban,89.2538,59.47,24.04,Heavy
Accident,547,Suburban,161.907,31.15,8.82,Moderate
Other,529,Suburban,156.395,28.49,6.3,Moderate
Accident,898,Urban,84.341,59.13,28.96,Heavy
Sporting Event,83317,Urban,152.5413,31.24,11.55,Moderate
Sporting Event,85160,Rural,190.3525,33.5,13.93,Moderate
Construction,584,Urban,168.3752,31.38,6.44,Moderate
Parade,10370,Highway,303.0846,12.65,3.63,Free-flow
Construction,991,Highway,274.6875,10.5,1.22,Free-flow
Construction,123,Rural,168.3531,30.46,8.78,Moderate
Construction,573,Suburban,166.0184,29.39,10.96,Moderate
Concert,19784,Suburban,25.8742,85.83,61.31,Gridlock
Sporting Event,60381,Rural,295.6985,8.27,1.07,Free-flow
Accident,272,Highway,181.5302,28.65,10.22,Moderate
Concert,41421,Urban,58.1758,58.62,25.45,Heavy
Accident,790,Urban,144.4703,30.5,12.21,Moderate
Construction,644,Suburban,168.2214,29.39,7.52,Moderate
Other,62,Urban,251.814,8.98,2.47,Free-flow
Accident,472,Urban,75.0151,61.78,23.34,Heavy
Accident,899,Highway,156.792,30.6,9.87,Moderate
Other,81,Suburban,21.9806,96.55,54.54,Gridlock
Sporting Event,58865,Suburban,267.2819,6.59,1.14,Free-flow
Construction,673,Rural,79.2662,53.44,24.29,Heavy
Concert,86783,Urban,282.7705,9.2,1.48,Free-flow
Parade,67615,Urban,175.3254,36.24,7.7,Moderate
Construction,391,Suburban,305.3074,13.06,2.57,Free-flow
Construction,810,Highway,79.2808,59.17,25.66,Heavy
Construction,218,Suburban,156.755,27.79,8.18,Moderate
Sporting Event,95069,Highway,157.6187,33.99,9.15,Moderate
Concert,78998,Suburban,154.6643,30.67,9.24,Moderate
Accident,667,Rural,96.3634,65.43,28.94,Heavy
Concert,45583,Suburban,21.6605,92.92,65.02,Gridlock
Accident,705,Suburban,25.0749,93.11,60.99,Gridlock
Construction,685,Urban,27.1898,91.74,58.84,Gridlock
Other,34,Urban,147.8671,27.95,10.1,Moderate
Concert,53730,Rural,289.5553,6.61,1.5,Free-flow
Accident,478,Highway,131.695,32.02,10.91,Moderate
Accident,90,Urban,22.3455,94.0,61.78,Gridlock
Sporting Event,16920,Rural,27.3786,95.7,59.68,Gridlock
Construction,681,Highway,71.8609,59.94,26.26,Heavy
Accident,623,Suburban,68.0718,56.38,23.33,Heavy
Accident,886,Urban,277.7181,11.67,1.57,Free-flow
Accident,555,Rural,176.4611,30.58,9.93,Moderate
Parade,9452,Rural,143.803,29.11,12.61,Moderate
Concert,40932,Highway,272.3284,9.72,1.44,Free-flow
Other,25,Rural,25.5444,91.67,54.42,Gridlock
Accident,780,Urban,79.3845,58.0,25.8,Heavy
Concert,82819,Suburban,282.3879,8.65,2.96,Free-flow
Parade,58528,Highway,82.8954,65.76,24.95,Heavy
Construction,57,Highway,74.409,56.42,26.89,Moderate
Parade,69125,Urban,29.1209,91.87,55.73,Gridlock
Concert,30263,Suburban,165.6039,30.39,7.06,Moderate
Concert,80982,Highway,306.6511,9.56,2.09,Free-flow
Accident,800,Urban,296.8539,10.27,2.83,Free-flow
Parade,89810,Highway,266.7115,9.65,0.83,Free-flow
Other,860,Highway,26.7469,79.75,57.14,Gridlock
Parade,48378,Urban,64.7711,64.2,24.1,Heavy
Concert,21430,Rural,170.119,29.94,9.98,Moderate
Concert,32520,Suburban,81.7206,58.4,26.33,Heavy
Parade,14371,Urban,163.2466,28.53,13.49,Moderate
Sporting Event,21043,Highway,73.3593,65.43,28.88,Heavy
Sporting Event,91451,Suburban,162.3458,27.92,11.27,Moderate
Accident,84,Suburban,253.9125,9.42,0.49,Free-flow
Sporting Event,56977,Urban,315.6505,8.25,2.21,Free-flow
Concert,63686,Suburban,267.794,7.94,2.4,Free-flow
Concert,40358,Rural,68.6928,57.31,24.89,Heavy
Accident,326,Urban,159.1659,36.21,7.8,Moderate
Construction,551,Suburban,80.8052,58.08,22.69,Heavy
Sporting Event,31780,Rural,45.3161,59.72,24.92,Heavy
Construction,36,Rural,287.71,11.3,0.88,Free-flow
Sporting Event,43524,Highway,295.7914,8.46,1.84,Free-flow
Construction,527,Suburban,300.0882,9.21,1.46,Free-flow
Other,99,Urban,291.383,9.4,1.94,Free-flow
Sporting Event,93520,Urban,23.2472,88.41,56.41,Gridlock
Construction,9,Suburban,264.1253,11.06,2.39,Free-flow
Sporting Event,63424,Rural,160.5925,30.57,9.35,Moderate
Accident,498,Urban,281.223,10.04,1.33,Free-flow
Accident,216,Urban,62.4242,62.14,22.38,Heavy
Accident,717,Suburban,149.1673,27.18,10.97,Moderate
Construction,490,Rural,82.2437,61.83,24.2,Heavy
Parade,43424,Rural,298.1674,10.71,1.49,Free-flow
Parade,3441,Suburban,173.6717,26.85,8.86,Moderate
Concert,73314,Highway,22.3159,87.51,52.83,Gridlock
Accident,569,Highway,80.6944,57.35,27.55,Heavy
Parade,86880,Urban,83.8581,59.83,26.83,Heavy
Sporting Event,33177,Highway,284.3907,8.85,1.88,Free-flow
Concert,44718,Rural,77.5534,54.9,26.26,Heavy
Construction,221,Suburban,288.3622,12.51,1.08,Free-flow
Parade,4329,Urban,162.6895,32.63,10.22,Moderate
Accident,953,Urban,91.6818,63.11,25.47,Heavy
Construction,44,Highway,74.6733,59.38,22.38,Heavy
Sporting Event,88087,Urban,163.0739,33.06,7.77,Moderate
Accident,13,Urban,290.1922,8.87,0.32,Free-flow
Accident,87,Urban,24.0456,88.02,59.28,Gridlock
Construction,87,Urban,93.3947,58.91,23.82,Heavy
Concert,9225,Urban,56.7886,63.87,26.22,Heavy
Concert,28593,Suburban,278.9224,7.96,0.51,Free-flow
Concert,60470,Urban,74.1045,55.8,22.7,Heavy
Concert,13932,Urban,174.8312,26.44,7.4,Moderate
Other,923,Highway,29.0283,92.87,59.72,Gridlock
Concert,88114,Urban,26.0096,92.38,65.19,Gridlock
Construction,705,Suburban,81.5938,59.19,26.08,Heavy
Accident,345,Highway,307.7781,10.26,1.42,Free-flow
Parade,85600,Highway,89.9557,62.52,27.37,Heavy
Accident,833,Highway,285.4287,12.32,2.2,Free-flow
Accident,862,Suburban,21.1914,89.26,56.43,Gridlock
Sporting Event,66592,Urban,160.3248,31.76,10.64,Moderate
Other,398,Urban,264.7023,10.06,1.26,Free-flow
Construction,849,Highway,288.8381,11.55,2.17,Free-flow
Other,641,Urban,71.3844,59.42,26.77,Heavy
Concert,46249,Urban,283.4079,11.67,2.23,Free-flow
Construction,688,Highway,294.1253,6.78,1.7,Free-flow
Accident,556,Rural,150.812,23.7,11.32,Moderate
Accident,433,Suburban,278.9851,9.05,2.68,Free-flow
Concert,26170,Rural,60.9918,57.14,24.83,Heavy
Sporting Event,49049,Highway,84.248,55.45,24.57,Heavy
Accident,161,Highway,146.6548,24.88,9.52,Moderate
Concert,19676,Suburban,80.3662,64.65,26.87,Heavy
Other,988,Urban,81.6171,62.2,25.23,Heavy
Concert,6102,Suburban,272.0244,11.2,2.49,Free-flow
Concert,86115,Urban,283.8769,10.36,1.83,Free-flow
Construction,428,Rural,81.7411,56.1,23.08,Heavy
Accident,788,Suburban,164.3608,28.25,10.51,Moderate
Sporting Event,48935,Suburban,267.399,8.74,0.85,Free-flow
Other,598,Urban,140.5236,28.04,9.04,Moderate
Accident,984,Suburban,27.7031,82.9,62.22,Gridlock
Concert,28764,Highway,263.5301,6.78,1.13,Free-flow
Concert,25043,Urban,27.0077,86.38,61.65,Gridlock
Sporting Event,51325,Suburban,261.0148,8.98,1.44,Free-flow
Parade,45204,Urban,81.9346,61.85,24.27,Heavy
Construction,116,Urban,24.0683,92.12,62.17,Gridlock
Sporting Event,81932,Urban,267.8989,11.41,2.72,Free-flow
Accident,594,Suburban,26.5735,87.64,59.49,Gridlock
